产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,6,滨江彩虹城,38269元/平米,临江花园,2005年建/板楼,420,2室1厅,103104424116,2019-04-14,南 北,中楼层/共6层,平层/简装,109.75平米
50年,10,江干景芳,32174元/平米,新城时代广场,2009年建/塔楼,160,1室1厅,103102630310,2018-07-19,东,中楼层/共27层,平层/精装,49.73平米
70年,8,余杭勾庄,25892元/平米,逸居城,2010年建/板楼,225,2室2厅,103104385414,2019-04-10,南,中楼层/共11层,平层/精装,86.9平米
70年,3,余杭闲林,34832元/平米,新明半岛,2014年建/平房,310,4室2厅,103104634207,2019-05-05,南 北,高楼层/共15层,精装,89平米
70年,1,江干城东新城,49469元/平米,万科中央公园,2018年建/板楼,540,3室2厅,103104829053,2019-05-25,南,低楼层/共16层,平层/精装,109.16平米
40年,0,余杭翡翠城,17954元/平米,华元西溪欢乐城,2017年建/板楼,80,1室1厅,103103769153,2019-01-14,西,低楼层/共14层,平层/毛坯,44.56平米
70年,2,余杭临平,24282元/平米,绿城蓝庭东区,2013年建/板楼,295,2室2厅,103104069652,2019-03-08,南 北,中楼层/共15层,平层/精装,121.49平米
70年,3,西湖文教,57400元/平米,白荡海人家,2000年建/板楼,448,2室2厅,103104958898,2019-06-07,南,高楼层/共7层,平层/简装,78.05平米
70年,0,拱墅半山,36377元/平米,中兴御田清庭,2017年建/板楼,310,2室2厅,103104718920,2019-05-14,南,高楼层/共7层,平层/毛坯,85.22平米
70年,8,拱墅拱宸桥,36687元/平米,荣华里,1985年建/板楼,186,2室1厅,103102749472,2018-08-18,南 西北,中楼层/共6层,平层/简装,50.7平米
70年,3,下城潮鸣,50026元/平米,中大凤栖花园,2002年建/板楼,195,1室1厅,103104597421,2019-05-01,南,高楼层/共7层,平层/简装,38.98平米
40年,7,滨江长河,35402元/平米,恒鼎博邑郡,2016年建/板楼,190,1室1厅,103104122971,2019-03-14,南,低楼层/共19层,精装,53.67平米
40年,12,滨江浦沿,31945元/平米,积家,2014年建/板塔结合,128,1室1厅,103103796372,2019-01-19,东,低楼层/共22层,精装,40.07平米
70年,5,江干笕桥,31738元/平米,原筑壹号,2010年建/板塔结合,340,3室1厅,103104624972,2019-05-04,南 北,低楼层/共16层,平层/精装,107.13平米
70年,21,西湖黄龙,68556元/平米,求是村,1988年建/板楼,530,2室2厅,103101903481,2017-11-12,东南 南,高楼层/共7层,平层/精装,77.31平米
70年,1,下城潮鸣,45304元/平米,回龙庙前小区,1988年建/板塔结合,150,1室1厅,103104817127,2019-05-24,南,中楼层/共5层,简装,33.11平米
70年,0,江干四季青,55067元/平米,采荷街道商教苑社区,1980年建/板楼,400,3室1厅,103104938365,2019-06-05,南,高楼层/共8层,简装,72.64平米
50年,6,钱塘新区高教园区东,14706元/平米,金沙居,2009年建/板楼,100,1室1厅,103102497853,2018-06-11,南,中楼层/共18层,简装,68平米
70年,11,余杭闲林,29494元/平米,融创金成西溪海,2014年建/塔楼,1130,5室2厅,103103719925,2019-01-08,东 东南,联排/共3层,毛坯,383.13平米
70年,1,江干丁桥,35839元/平米,中旅城仕公馆,2016年建/板楼,310,3室1厅,103104832610,2019-05-25,南,中楼层/共16层,平层/精装,86.5平米
70年,2,钱塘新区沿江南,28358元/平米,保利东湾,2010年建/板楼,250,2室2厅,103104415312,2019-04-13,南,高楼层/共35层,平层/精装,88.16平米
70年,0,临安临安,16667元/平米,青山鹤岭,未知年建/板楼,190,3室2厅,103104552313,2019-04-26,南,高楼层/共7层,毛坯,114平米
70年,12,余杭未来科技城,25674元/平米,杉杉恒和依山郡,2013年建/板楼,580,5室3厅,103104423145,2019-04-14,南,双拼/共2层,复式/精装,225.91平米
70年,67,上城南星,50741元/平米,春江花月,2006年建/板楼,850,3室2厅,103102172363,2018-03-04,南 北,低楼层/共11层,平层/毛坯,167.52平米
70年,0,余杭良渚,39326元/平米,,2010年建/板楼,350,3室2厅,103104007296,2019-03-02,南 北,低楼层/共5层,平层/毛坯,89平米
70年,11,拱墅拱宸桥,34158元/平米,绍兴新村,1988年建/板楼,174,2室1厅,103104987444,2019-06-10,南 北,高楼层/共6层,简装,50.94平米
70年,7,下城三塘,37805元/平米,三塘北村,1998年建/板楼,155,1室1厅,103104009101,2019-03-02,南,中楼层/共7层,平层/简装,41平米
70年,3,余杭闲林,22025元/平米,林溪闲庭,2015年建/板楼,280,4室2厅,103103818097,2019-01-24,南 北,高楼层/共12层,平层/简装,127.13平米
40年,16,钱塘新区高教园区东,22620元/平米,宝龙城市广场,2014年建/板楼,95,1室1厅,103103655824,2018-12-28,北,高楼层/共23层,跃层/精装,42平米
70年,28,余杭塘栖,16394元/平米,塘栖一小区,未知年建/板楼,98,2室1厅,103104090441,2019-03-11,南,中楼层/共5层,平层/简装,59.78平米
40年,0,余杭未来科技城,29278元/平米,西溪蓝海,2017年建/塔楼,135,1室1厅,103104757565,2019-05-17,东北,中楼层/共23层,Loft/精装,46.11平米
70年,21,萧山萧山市区,27743元/平米,萧然人家,2004年建/板楼,348,3室2厅,103103293173,2018-11-05,南,低楼层/共6层,平层/精装,125.44平米
70年,1,余杭闲林,27913元/平米,华元玉榕庄,2013年建/板塔结合,790,6室2厅,103103083787,2018-10-10,南 北,联排/共3层,毛坯,283.03平米
40年,7,萧山萧山新城区,20834元/平米,萧山宝龙城市广场,2016年建/板楼,84,1室1厅,103103877696,2019-02-15,东,高楼层/共27层,平层/简装,40.32平米
70年,0,余杭良渚,28071元/平米,和昌府,未知年建/板楼,320,4室2厅,103104911084,2019-06-02,西北,低楼层/共18层,平层/毛坯,114平米
70年,11,下城石桥,34420元/平米,祥和人家,2006年建/板楼,600,4室2厅,103102714541,2018-08-09,南,高楼层/共11层,跃层/精装,174.32平米
70年,13,拱墅拱宸桥,46261元/平米,紫荆家园,2001年建/板楼,420,2室1厅,103103441070,2018-11-23,南,高楼层/共6层,平层/精装,90.79平米
70年,2,江干九堡,40450元/平米,天阳九筑,2013年建/板楼,360,3室2厅,103104798058,2019-05-22,南 北,中楼层/共16层,跃层/毛坯,89平米
70年,13,下城建国北路,39720元/平米,永康苑,1998年建/板楼,255,2室1厅,103103035487,2018-10-01,南 北,高楼层/共7层,平层/毛坯,64.2平米
