产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,1,下城流水苑,39512元/平米,嘉汇大厦,2002年建/塔楼,469,3室2厅,103104511081,2019-04-22,南 北,低楼层/共31层,平层/精装,118.7平米
70年,13,西湖黄龙,70791元/平米,曙光公寓,1990年建/板楼,650,2室2厅,103102708925,2018-08-08,南 北,中楼层/共6层,平层/简装,91.82平米
70年,6,余杭良渚,23039元/平米,良渚文化村白鹭郡北,2006年建/板楼,320,3室2厅,103103939702,2019-02-22,南,高楼层/共5层,跃层/毛坯,138.9平米
70年,33,江干城东新城,43630元/平米,新中宇维萨,2014年建/板楼,390,2室2厅,103102449212,2018-05-26,南,中楼层/共20层,简装,89.39平米
40年,12,余杭未来科技城,32895元/平米,西溪蓝海,2017年建/塔楼,125,2室1厅,103104383577,2019-04-10,北,低楼层/共23层,精装,38平米
70年,173,西湖三墩,35227元/平米,金地自在城悦活轩,2012年建/板楼,312,3室1厅,103102920668,2018-09-15,南,低楼层/共22层,跃层/精装,88.57平米
70年,2,江干景芳,43146元/平米,景芳新五区,1997年建/板楼,214,2室1厅,103104523074,2019-04-24,南,中楼层/共7层,平层/精装,49.6㎡
70年,8,滨江彩虹城,40089元/平米,银色港湾公寓,2006年建/板楼,525,3室2厅,103104175736,2019-03-19,南 北,中楼层/共6层,精装,130.96平米
70年,142,滨江彩虹城,31752元/平米,中兴和园,2009年建/板楼,435,3室2厅,103101513773,2017-07-16,南 北,中楼层/共18层,平层/精装,137平米
70年,16,江干丁桥,34075元/平米,广宇上东名筑,2012年建/板楼,460,4室2厅,103104350252,2019-04-07,南,高楼层/共16层,跃层/精装,135平米
70年,8,拱墅大关,34664元/平米,大关东五苑,1996年建/板楼,205,2室1厅,103104756022,2019-05-17,南,低楼层/共6层,平层/毛坯,59.14平米
70年,12,余杭闲林,28007元/平米,闲林山水丹枫苑,2008年建/板楼,160,1室1厅,103104613940,2019-05-03,东,低楼层/共18层,平层/精装,57.13平米
70年,33,钱塘新区沿江北,27430元/平米,野风海天城,2008年建/板楼,230,2室1厅,103104520491,2019-04-23,南,中楼层/共24层,平层/简装,83.85平米
70年,1,萧山南部卧城,28109元/平米,绿都四季华庭,2015年建/暂无数据,250,3室1厅,103105105972,2019-06-21,南,低楼层/共17层,平层/其他,88.94平米
70年,0,余杭临平,21643元/平米,世纪嘉园晴彩巴厘,2006年建/板楼,190,2室2厅,103105104261,2019-06-21,南,中楼层/共6层,其他,87.79平米
40年,13,萧山闻堰,29509元/平米,湘湖九号,2010年建/板楼,180,2室2厅,103102674030,2018-07-31,东南,高楼层/共17层,精装,61平米
70年,1,西湖学军,78370元/平米,下宁巷,2000年建/板楼,750,3室2厅,103104081461,2019-03-10,南,高楼层/共6层,平层/简装,95.7平米
70年,24,余杭翡翠城,29690元/平米,西溪华东园,2014年建/板楼,390,3室2厅,103104450447,2019-04-16,南,低楼层/共18层,平层/精装,131.36平米
70年,1,萧山萧山市区,22988元/平米,育才东苑,1995年建/板楼,375,3室2厅,103104494469,2019-04-20,南,中楼层/共6层,毛坯,163.13平米
70年,2,临安临安,16102元/平米,越秀星汇城,2016年建/板楼,190,4室2厅,103105067751,2019-06-18,南,低楼层/共33层,平层/毛坯,118平米
70年,0,钱塘新区沿江北,30702元/平米,多蓝水岸蓝波苑,2007年建/板楼,350,3室2厅,103105056447,2019-06-16,南,高楼层/共6层,精装,114平米
70年,27,萧山闻堰,23142元/平米,三江花园(萧山),2000年建/板楼,300,3室2厅,103103231622,2018-10-28,南 北,低楼层/共6层,平层/简装,129.64平米
70年,27,萧山萧山新城区,34511 元/平米,绿都湖滨花园,2008年建/板楼,635,4室2厅,103102365615,2018-04-30,南,高楼层/共32层,平层/简装,184平米
40年,0,西湖申花,34649元/平米,五洲国际广场,2013年建/板塔结合,115,1室0厅,103102385954,2018-05-07,北,中楼层/共11层,精装,33.19平米
70年,14,西湖黄龙,75919元/平米,求是村,1988年建/板楼,430,2室1厅,103103341303,2018-11-09,南,中楼层/共7层,平层/简装,56.64平米
50年,0,江干华家池,59280元/平米,滨江华家池,未知年建/塔楼,1400,5室2厅,103102930197,2018-09-17,南 北,低楼层/共24层,精装,236.17平米
70年,0,萧山萧山开发区,25000元/平米,得力新和人家,未知年建/板楼,289,3室2厅,103104548432,2019-04-26,南,中楼层/共6层,精装,115.6平米
70年,1,余杭良渚,25502元/平米,东田玉城,2008年建/板楼,230,3室2厅,103104887889,2019-05-31,南,低楼层/共11层,平层/精装,90.19平米
70年,44,拱墅信义坊,41375元/平米,湖墅嘉园,2002年建/板楼,560,3室2厅,103102128094,2018-02-09,南,中楼层/共15层,平层/简装,135.35平米
70年,8,拱墅申花,50069元/平米,融信蓝孔雀,2016年建/塔楼,1248,5室2厅,103104389996,2019-04-11,南,高楼层/共29层,跃层/毛坯,249.26平米
70年,22,上城复兴,44239元/平米,美政花苑,2000年建/板楼,200,1室1厅,103104539432,2019-04-25,南,高楼层/共7层,跃层/精装,45.21平米
70年,3,萧山萧山市区,26713元/平米,南江公寓,2008年建/板楼,195,2室2厅,103104819049,2019-05-24,南,低楼层/共6层,平层/简装,73平米
70年,5,江干九堡,33520元/平米,雍和府,2017年建/板楼,419,4室2厅,103104151483,2019-03-17,东南 南,低楼层/共17层,平层/简装,125平米
70年,5,江干丁桥,30597元/平米,广宇上东领地,2011年建/板楼,240,2室2厅,103104235392,2019-03-26,南,高楼层/共16层,平层/简装,78.44平米
70年,11,西湖申花,55235元/平米,广宇西城美墅,2008年建/塔楼,469,2室2厅,103103395245,2018-11-16,南,中楼层/共24层,平层/精装,84.91平米
70年,3,江干火车东站,42167元/平米,红街公寓,2010年建/板楼,260,2室1厅,103103598731,2018-12-18,南,高楼层/共18层,平层/简装,61.66平米
40年,2,余杭临平,20858元/平米,华元欢乐城,2016年建/板塔结合,72,2室2厅,103103094561,2018-10-12,东,高楼层/共22层,Loft/精装,34.52平米
70年,0,上城望江,46194元/平米,望江新园二园,2010年建/板楼,1100,6室4厅,103104346833,2019-04-06,南,高楼层/共18层,跃层/精装,238.13平米
70年,45,上城潮鸣,38935元/平米,大学路新村,1989年建/板楼,190,2室1厅,103104082003,2019-03-10,南,高楼层/共6层,平层/精装,48.8平米
70年,39,江干城东新城,41036元/平米,滨江德信东方星城,2018年建/板楼,520,4室2厅,103103239009,2018-10-29,南 北,低楼层/共17层,平层/毛坯,9平米
70年,35,余杭星桥,14026元/平米,广厦天都城天泉苑,2005年建/板楼,330,7室3厅,103104313443,2019-04-03,南,高楼层/共5层,跃层/毛坯,235.28平米
70年,0,余杭良渚,19078元/平米,良渚花苑新村,未知年建/板楼,235,3室2厅,103104910223,2019-06-02,南,高楼层/共6层,平层/简装,123.18平米
70年,1,余杭未来科技城,16975元/平米,杉杉恒和依山郡,2013年建/板楼,148,2室2厅,103104455445,2019-04-17,南 西南,低楼层/共11层,平层/精装,87.19平米
70年,6,上城雄镇楼,43045元/平米,北落马营,1989年建/板楼,190,1室1厅,103103677729,2019-01-01,南 北,低楼层/共6层,平层/简装,44.14平米
70年,4,余杭崇贤,25910元/平米,恒基旭辉府,2015年建/板楼,285,3室2厅,103102979877,2018-09-22,南,高楼层/共31层,精装,110平米
40年,1,余杭翡翠城,19059元/平米,华元西溪欢乐城,2017年建/板楼,85,1室1厅,103103769117,2019-01-14,西南,中楼层/共14层,平层/毛坯,44.6平米
40年,4,滨江西兴,43133元/平米,兴耀鑫都汇,2016年建/板楼,190,1室1厅,103102990283,2018-09-25,西北,中楼层/共20层,简装,44.05平米
70年,10,萧山义桥,22728元/平米,南岸花城,2010年建/板楼,300,3室2厅,103104241358,2019-03-26,南 北,中楼层/共11层,平层/精装,132平米
70年,4,拱墅三墩,51260元/平米,都市水乡水滟苑,2008年建/板楼,470,2室1厅,103102432992,2018-05-21,南,高楼层/共16层,平层/简装,91.69平米
70年,92,上城复兴,40778元/平米,复兴南苑,1998年建/板楼,193,2室1厅,103103178623,2018-10-21,南,高楼层/共7层,平层/简装,47.33平米
70年,5,萧山萧山新城区,44944元/平米,华瑞晴庐,2015年建/板楼,400,4室2厅,103104357898,2019-04-07,南,中楼层/共31层,平层/精装,89平米
70年,5,余杭未来科技城,43530元/平米,新城峯璟,2017年建/板楼,370,3室2厅,103104920948,2019-06-03,南 北,低楼层/共7层,简装,85平米
70年,0,钱塘新区工业园南,35349元/平米,东海柠檬郡,2014年建/塔楼,290,2室1厅,103104970879,2019-06-08,南,低楼层/共29层,平层/精装,82.04平米
70年,19,拱墅大关,38345元/平米,大关西七苑,1996年建/板楼,265,2室2厅,103102162806,2018-03-01,南,中楼层/共6层,平层/毛坯,69.11平米
40年,1,,27684元/平米,新天地G193广场,2016年建/板楼,90,1室1厅,103103142936,2018-10-17,南,高楼层/共20层,平层/精装,32.51平米
70年,19,滨江滨江区政府,49487元/平米,风雅钱塘,2006年建/板楼,650,3室2厅,103104072439,2019-03-09,南 北,中楼层/共32层,平层/精装,131.35平米
70年,32,上城近江,52272元/平米,钱江时代公寓,2007年建/板楼,650,2室2厅,103101942217,2017-11-26,南,低楼层/共27层,错层/精装,124.35平米
70年,35,余杭良渚,28147元/平米,良渚文化村白鹭郡南,2010年建/板楼,250,2室2厅,103102724601,2018-08-11,南 北,中楼层/共4层,精装,88.82平米
70年,27,钱塘新区沿江南,20849元/平米,世茂江滨花园瑞景湾,2010年建/塔楼,430,5室2厅,103103583470,2018-12-15,南,低楼层/共33层,跃层/简装,206.25平米
70年,28,拱墅桥西,45770元/平米,凯德视界,2009年建/板楼,330,2室1厅,103102696844,2018-08-05,东南 南,中楼层/共18层,平层/精装,72.1平米
50年,7,下城三塘,45760元/平米,杭州新天地,2015年建/板塔结合,430,4室2厅,103103591266,2018-12-17,南,高楼层/共11层,复式/精装,93.97平米
40年,2,江干华家池,20450元/平米,同方国际,2000年建/板楼,100,1室0厅,103104171233,2019-03-19,南,高楼层/共28层,平层/其他,48.9平米
70年,1,余杭临平,23342元/平米,金都夏宫,2016年建/板楼,208,2室2厅,103104121535,2019-03-14,南,低楼层/共34层,平层/精装,89.11平米
70年,0,西湖文三西路,42486元/平米,金田花园,1996年建/板楼,480,3室2厅,103104946147,2019-06-05,南,低楼层/共7层,平层/简装,112.98平米
70年,2,拱墅信义坊,39667元/平米,云河大厦,2002年建/塔楼,138,1室0厅,103104810823,2019-05-23,西,中楼层/共18层,平层/其他,34.79平米
70年,7,余杭临平,19874元/平米,世纪嘉园晴彩巴厘,2006年建/板楼,220,3室2厅,103102763412,2018-08-21,南 北,中楼层/共18层,简装,110.7平米
70年,1,临安临安,17978元/平米,越秀星汇城,未知年建/板楼,160,3室2厅,103105087607,2019-06-20,南,中楼层/共33层,毛坯,89平米
70年,8,萧山萧山市区,32291元/平米,星河景庭公寓,2004年建/板楼,456,3室2厅,103103287695,2018-11-04,南,高楼层/共6层,精装,141.22平米
70年,11,上城雄镇楼,47141元/平米,金都华府,2007年建/板塔结合,460,2室2厅,103101590251,2017-08-07,南,低楼层/共11层,简装,97.58平米
70年,17,余杭闲林,27349元/平米,佳兆业西溪璞园,2017年建/板楼,340,3室1厅,103102821302,2018-09-01,南 北,高楼层/共18层,精装,124.32平米
70年,5,滨江滨江区政府,46198元/平米,江南豪园,2005年建/板楼,828,4室2厅,103104057084,2019-03-07,南,高楼层/共29层,平层/精装,179.23平米
70年,4,余杭西溪,40513元/平米,百家乐西园,2011年建/板楼,722.7,5室2厅,103104367712,2019-04-08,南 北,低楼层/共6层,平层/毛坯,178.39平米
40年,9,拱墅申花,28223元/平米,蓝钻天成,2016年建/板楼,120,1室1厅,103102118559,2018-02-03,西北,高楼层/共21层,平层/精装,42.52平米
40年,4,钱塘新区高教园区西,26078元/平米,华元十六街区,2004年建/板楼,115,2室2厅,103104273514,2019-03-30,北,高楼层/共16层,跃层/简装,44.1平米
70年,43,余杭闲林,32003元/平米,盛世嘉园,2006年建/板楼,121,1室0厅,103102051711,2018-01-05,南,高楼层/共18层,平层/精装,37.81平米
70年,0,萧山萧山市区,24784元/平米,金马同盛,2013年建/板楼,415,3室2厅,103102852561,2018-09-07,南,中楼层/共22层,毛坯,167.45平米
70年,7,余杭塘栖,19541元/平米,野风启城,2016年建/板楼,170,3室2厅,103102798595,2018-08-29,南,低楼层/共18层,精装,87平米
70年,25,萧山萧山新城区,51073元/平米,顺发恒园,2016年建/板楼,450,4室1厅,103103008762,2018-09-27,南 北,高楼层/共33层,简装,88.11平米
70年,0,余杭临平,23921元/平米,绿城蓝庭东区,2013年建/板楼,210,2室2厅,103104919007,2019-06-03,南,中楼层/共11层,平层/精装,87.79平米
70年,7,余杭闲林,24100元/平米,绿城桃源小镇,未知年建/暂无数据,208,3室2厅,103103999324,2019-03-01,南 北,低楼层/共18层,平层/毛坯,86.31平米
70年,0,余杭闲林,22706元/平米,新明半岛,2014年建/板楼,330,3室2厅,103103666706,2018-12-29,南 北,中楼层/共11层,平层/精装,145.34平米
70年,2,临安临安,19344元/平米,锦绣山水苑,2007年建/塔楼,260,3室2厅,103104130196,2019-03-15,南,高楼层/共11层,平层/精装,134.41平米
70年,6,余杭临平,25092元/平米,景瑞御华府,2015年建/板楼,220,3室2厅,103104617095,2019-05-03,南,高楼层/共24层,平层/精装,87.68平米
70年,7,拱墅大关,40725元/平米,大关东一苑,1995年建/板楼,200,2室1厅,103102930890,2018-09-17,南,高楼层/共6层,简装,49.11平米
70年,5,余杭万达广场,37079元/平米,融创瑷颐湾,2016年建/板楼,330,3室1厅,103104808288,2019-05-23,南,高楼层/共27层,平层/简装,89平米
70年,11,余杭临平,18628元/平米,梅堰小区,2000年建/板楼,190,3室2厅,103102160218,2018-03-01,南,高楼层/共6层,平层/精装,102平米
70年,6,余杭仁和,19749元/平米,清合嘉园东区,2006年建/板楼,185,2室2厅,103104683126,2019-05-10,西南,中楼层/共6层,平层/精装,93.68平米
70年,16,余杭闲林,26834元/平米,岸上蓝山,2012年建/板楼,240,3室2厅,103104341733,2019-04-06,南,高楼层/共6层,跃层/简装,89.44平米
70年,14,余杭三墩,30184元/平米,亲亲家园一期,2007年建/板楼,405,4室2厅,103103069804,2018-10-08,南 北,高楼层/共6层,精装,134.18平米
70年,51,下城建国北路,40727元/平米,东园小区,1993年建/板楼,240,2室1厅,103102330462,2018-04-19,南 北,高楼层/共7层,平层/简装,58.93平米
40年,87,西湖申花,18757元/平米,爱尚里,2015年建/板楼,95万元,1室1厅,103102600807,2018-07-11,南,中楼层/共13层,平层/精装,50.65平米
70年,0,钱塘新区金沙湖,39328元/平米,德信早城,未知/板楼,468,4室2厅,103102564747,2018-07-01,南,高楼层/共22层,简装,119平米
70年,9,余杭星桥,22086元/平米,星桥桂花城,2010年建/板楼,180,2室2厅,103104368513,2019-04-08,南,高楼层/共10层,平层/毛坯,81.5平米
70年,17,余杭良渚,44144元/平米,新湖香格里拉,未知年建/板楼,1800,5室2厅,103102622229,2018-07-17,南,共1层,毛坯,407.76平米
70年,5,江干四季青,46395元/平米,静安花苑,2000年建/板楼,415,3室1厅,103104301532,2019-04-01,南,高楼层/共6层,平层/简装,89.45平米
70年,0,江干丁桥,24391元/平米,丁桥兰苑,2000年建/板楼,220,2室1厅,103104591391,2019-04-30,南,低楼层/共12层,平层/简装,90.2㎡
70年,2,钱塘新区沿江北,28966元/平米,伊萨卡国际城浩泽园,2008年建/塔楼,252,2室2厅,103104795236,2019-05-21,南,高楼层/共33层,平层/精装,87平米
70年,2,下城长庆,42699元/平米,横燕子弄,1994年建/板楼,150,1室1厅,103104663565,2019-05-08,南,中楼层/共7层,平层/简装,35.13平米
70年,47,下城朝晖,33562元/平米,朝晖九区,1996年建/板楼,250,2室1厅,103103496454,2018-12-01,南,高楼层/共7层,平层/简装,74.49平米
70年,20,西湖申花,49563元/平米,紫金文苑,2003年建/板塔结合,430,2室2厅,103104247983,2019-03-27,南,低楼层/共6层,平层/精装,86.76平米
70年,11,上城雄镇楼,49559元/平米,金都华府,2007年建/板塔结合,685,3室2厅,103103256717,2018-10-31,南 北,低楼层/共15层,平层/精装,138.22平米
70年,57,余杭良渚,44018元/平米,良渚文化村白鹭郡南,2010年建/板楼,380,3室2厅,103102189242,2018-03-09,南 北,高楼层/共4层,跃层/精装,86.33平米
70年,5,江干丁桥,29907元/平米,北城枫景园,2012年建/板楼,176,2室1厅,103103920129,2019-02-20,南,高楼层/共17层,平层/精装,58.85平米
70年,33,江干景芳,65090元/平米,东方御府,2015年建/板楼,575,2室2厅,103102656548,2018-07-26,南,高楼层/共30层,精装,88.34平米
70年,2,余杭未来科技城,46271元/平米,富力西溪悦居溪区,2014年建/板楼,410,3室1厅,103104968088,2019-06-08,南,中楼层/共14层,平层/精装,88.61平米
40年,2,余杭临平,16429元/平米,理想银泰城,2016年建/板楼,85,1室1厅,103103894491,2019-02-17,北,低楼层/共28层,平层/精装,51.74平米
50年,8,滨江滨江区政府,23175元/平米,星光国际公馆,2012年建/板楼,120,1室1厅,103104098991,2019-03-12,西,高楼层/共26层,平层/精装,51.78平米
70年,23,滨江长河,58065元/平米,水印城,2008年建/板楼,360,2室1厅,103102802828,2018-08-30,南 北,高楼层/共15层,简装,62平米
70年,26,西湖西溪,49347元/平米,西溪蝶园二期,2009年建/板楼,340,1室1厅,103102646940,2018-07-23,南,中楼层/共11层,精装,68.9平米
70年,5,萧山闻堰,40469元/平米,湘湖人家,未知年建/暂无数据,1050,5室3厅,103104420106,2019-04-14,南,低楼层/共3层,精装,259.46平米
70年,7,西湖西溪,52981元/平米,西溪蝶园二期,2012年建/板楼,280,1室1厅,103104664372,2019-05-08,南,中楼层/共8层,精装,52.85平米
70年,12,下城三里亭,38558元/平米,水岸雅苑,2006年建/板楼,386,3室2厅,103102469111,2018-06-02,南,中楼层/共6层,平层/精装,100.11平米
